CM059148.1	Trypanosoma cruzi	Trypanosoma cruzi isolate M05 mitochondrion, complete sequence, whole genome shotgun sequence
MZ042318.1	Canis lupus baileyi	Canis lupus baileyi isolate Mexican_Wolf.1290 mitochondrion, complete genome
MZ042317.1	Canis lupus baileyi	Canis lupus baileyi isolate Mexican_Wolf.1289 mitochondrion, complete genome
MZ042316.1	Canis lupus familiaris	Canis lupus familiaris isolate Dog.GIL00123.Labradoodle mitochondrion, complete genome
MZ042315.1	Canis lupus familiaris	Canis lupus familiaris isolate Dog.GIL00112.Saint_Bernard mitochondrion, complete genome
MZ042314.1	Canis lupus familiaris	Canis lupus familiaris isolate Dog.GIL00121.Great_Pyrenees mitochondrion, complete genome
MZ042313.1	Canis lupus familiaris	Canis lupus familiaris isolate Dog.GIL00002 mitochondrion, complete genome
MN509797.1	Canis lupus familiaris	Canis lupus familiaris isolate PQ2 mitochondrion, complete genome
MN509796.1	Canis lupus familiaris	Canis lupus familiaris isolate PQ1 mitochondrion, complete genome
MZ367915.1	Canis lupus	Canis lupus isolate S14-0332 mitochondrion, complete genome
MZ367914.1	Canis lupus lycaon	Canis lupus lycaon isolate S14-0331 mitochondrion, complete genome
MZ367913.1	Canis lupus familiaris	Canis lupus familiaris isolate S12-0692 mitochondrion, complete genome
MZ367898.1	Canis lupus	Canis lupus isolate NMNH-52057 voucher NMNH-52057 mitochondrion, complete genome
MZ367897.1	Canis lupus lycaon	Canis lupus lycaon isolate MCZ-BOM-11183 mitochondrion, complete genome
MT726217.1	Pneumocystis canis	Pneumocystis canis strain AU voucher Dog_A mitochondrion, complete genome
MT726216.1	Pneumocystis canis	Pneumocystis canis strain CK2 voucher CKCS mitochondrion, complete genome
MT726215.1	Pneumocystis canis	Pneumocystis canis strain CK1 voucher CKCS mitochondrion, complete genome
MW549038.1	Canis lupus familiaris	Canis lupus familiaris mitochondrion, complete genome
MW051511.1	Canis lupus familiaris	Canis lupus familiaris breed Basenji mitochondrion, complete genome
MT796489.1	Canis lupus	Canis lupus mitochondrion, complete genome
CM023446.1	Canis lupus familiaris	Canis lupus familiaris isolate Tasha breed boxer mitochondrion, complete sequence, whole genome shotgun sequence
CM025140.1	Canis lupus familiaris	Canis lupus familiaris isolate SID07034 breed Labrador retriever mitochondrion, complete sequence, whole genome shotgun sequence
LC533830.1	Strongyloides stercoralis	Strongyloides stercoralis D024_2 mitochondrial DNA, complete genome
CM020940.1	Canis lupus familiaris	Canis lupus familiaris isolate Nala breed German Shepherd mitochondrion, complete sequence, whole genome shotgun sequence
CM022001.1	Canis lupus familiaris	Canis lupus familiaris isolate Mischka breed German Shepherd mitochondrion, complete sequence, whole genome shotgun sequence
LC520095.1	Canis lupus hodophilax	Canis lupus hodophilax Berlin48817 mitochondrial DNA, complete genome
LC520094.1	Canis lupus hodophilax	Canis lupus hodophilax Jentink c mitochondrial DNA, complete genome
LC520093.1	Canis lupus hodophilax	Canis lupus hodophilax Jentink b mitochondrial DNA, complete genome
LC520092.1	Canis lupus hodophilax	Canis lupus hodophilax Jw292 mitochondrial DNA, complete genome
LC520091.1	Canis lupus hodophilax	Canis lupus hodophilax Jw275 mitochondrial DNA, complete genome
LC520090.1	Canis lupus hodophilax	Canis lupus hodophilax Jw271 mitochondrial DNA, complete genome
LC520089.1	Canis lupus hodophilax	Canis lupus hodophilax Jw255 mitochondrial DNA, complete genome
LR742834.1	Canis lupus familiaris	Canis lupus familiaris mitochondrial partial D-loop, isolate TRF.02.19_NorthGL_Historical, complete mitochondrial genome
LR742799.1	Canis lupus familiaris	Canis lupus familiaris mitochondrial partial D-loop, isolate TRF.04.26_Kamchatka_Rus_Historical, complete mitochondrial genome
EU408280.2	Canis lupus familiaris	Canis lupus familiaris isolate ItalianGreyhound1P mitochondrion, complete genome
EU408308.1	Canis lupus familiaris	Canis lupus familiaris isolate YorkieChihuahua1M mitochondrion, complete genome
EU408307.1	Canis lupus familiaris	Canis lupus familiaris isolate WalkerHound1P mitochondrion, complete genome
EU408306.1	Canis lupus familiaris	Canis lupus familiaris isolate WestHighlandTerrier4P mitochondrion, complete genome
EU408305.1	Canis lupus familiaris	Canis lupus familiaris isolate Viszla2P mitochondrion, complete genome
EU408304.1	Canis lupus familiaris	Canis lupus familiaris isolate unknown1P mitochondrion, complete genome
EU408303.1	Canis lupus familiaris	Canis lupus familiaris isolate unknown1M mitochondrion, complete genome
EU408302.1	Canis lupus familiaris	Canis lupus familiaris isolate ToyPoodle3P mitochondrion, complete genome
EU408301.1	Canis lupus familiaris	Canis lupus familiaris isolate TibetanSpaniel1P mitochondrion, complete genome
EU408300.1	Canis lupus familiaris	Canis lupus familiaris isolate TibetanMastiff1P mitochondrion, complete genome
EU408299.1	Canis lupus familiaris	Canis lupus familiaris isolate Schnauzer4P mitochondrion, complete genome
EU408298.1	Canis lupus familiaris	Canis lupus familiaris isolate Sheltie1M mitochondrion, complete genome
EU408297.1	Canis lupus familiaris	Canis lupus familiaris isolate Schipperke1P mitochondrion, complete genome
EU408296.1	Canis lupus familiaris	Canis lupus familiaris isolate Rottweiler2P mitochondrion, complete genome
EU408295.1	Canis lupus familiaris	Canis lupus familiaris isolate Rottweiler1P mitochondrion, complete genome
EU408294.1	Canis lupus familiaris	Canis lupus familiaris isolate Pug5P mitochondrion, complete genome
EU408293.1	Canis lupus familiaris	Canis lupus familiaris isolate PitBullTerrier1M mitochondrion, complete genome
EU408292.1	Canis lupus familiaris	Canis lupus familiaris isolate Poodle7M mitochondrion, complete genome
EU408291.1	Canis lupus familiaris	Canis lupus familiaris isolate Pomeranian2M mitochondrion, complete genome
EU408290.1	Canis lupus familiaris	Canis lupus familiaris isolate NeapolitanMastiff2P mitochondrion, complete genome
EU408289.1	Canis lupus familiaris	Canis lupus familiaris isolate NeapolitanMastiff1P mitochondrion, complete genome
EU408288.1	Canis lupus familiaris	Canis lupus familiaris isolate NorwegianElkhound1P mitochondrion, complete genome
EU408287.1	Canis lupus familiaris	Canis lupus familiaris isolate Newfoundland1P mitochondrion, complete genome
EU408286.1	Canis lupus familiaris	Canis lupus familiaris isolate MiniatureDachshund3P mitochondrion, complete genome
EU408285.1	Canis lupus familiaris	Canis lupus familiaris isolate Labradoodle1P mitochondrion, complete genome
